complaint_id,date,product,sub_product,company,state,channel,narrative,word_count
18207765,2025-12-21,Checking or savings account,Checking account,REGIONS FINANCIAL CORPORATION,LA,Web,"On [DATE] /year> my online banking account was hacked. Hackers moved [AMOUNT] from my husband 's business account to our joint account, then transferred [REDACTED] [AMOUNT] into my business account and withdrew a total of [AMOUNT] from my business account. Transferring funds from a personal account to a business account is NOT POSSIBLE IN ANY CAPACITY via online banking with regions. These funds being transferred should have been flagged. Movement of this amount is not a normal behavior among my accounts. This too should have raised concern on regions end and it should have not been allowed as IT IS IMPOSSIBLE TO DO SO. I know because I have had to write personal checks in order to put personal funds into my business account. I stressed this multiple times. I went into the branch and filed multiple claims with the local branch. I was then told it needed to be one claim vs a claim for each transaction that was fraudulent vs the initial claim process that was told by the fraud department. My claim also states I gave my information to a "" [REDACTED] stand '' which I did not nor did I provide this name to ANYONE I spoke to ONE fraudline banker name [REDACTED] at the branch on speaker phone and he informed the local branch to file each claim. He also seemed very confused on how to properly process my claim as did EVERY representative we spoke to that day. We were transferred several times. I attempted to reach the fraud department countless times for information and was denied at each and every attempt. I also requested any and ALL documentation and communication with the fraud department by both the local branch manager and her supervisor several times without success. I was denied each time. I know there is a file folder full of my claim information at the local branch because I saw it each time I went in. Which is more than 7 times. On multiple occasions there were customers also making fraud claims while I was in the branch. My husband attempted to make a claim for his business account and was denied doing so by the local branch manager. I requested a point of contact for who was handling my case and was told time and time again that was not possible. I requested an affidavit of forgery per the detective I",400
7555986,2023-09-15,Credit card,General-purpose credit card or charge card,AMERICAN EXPRESS COMPANY,GA,Web,"I am writing to file a formal complaint with the Consumer Financial Protection Bureau ( CFPB ) regarding my [REDACTED] American Express card account, issued by American Express. I am deeply dissatisfied with the recent changes to the card 's benefits, which have rendered the card significantly less valuable to me as a consumer. I have been a loyal customer have held the [REDACTED] American Express card for 1 year and have been a Skymiles member since [REDACTED] . I initially signed up for this card because of the enticing benefits it offered, including [ paid [REDACTED] access, priority boarding, and boosts when spending [AMOUNT] and [AMOUNT] . ]. These benefits were a major factor in my decision to become a cardholder and to continue paying the annual fee. However, I was recently informed that effective [DATE] , several of the benefits that initially attracted me to this card will no longer be available. The specific changes that have been announced, such as [ the removal of MQMs to earn status, and the removal of complimentary [REDACTED] access ], significantly diminish the value of the [REDACTED] American Express card for me as a customer. These changes were not communicated clearly or with sufficient notice, leaving me feeling blindsided and betrayed as a loyal cardholder. I believe these changes fail to meet the standards of transparency and fairness that consumers should expect from their financial institutions. I have made significant financial decisions based on the promised benefits of this card, and the sudden withdrawal of these benefits has put me at a disadvantage. Not to mention, I just paid the [AMOUNT] annual fee less than two months ago. I kindly request that the CFPB investigate this matter thoroughly to ensure that American Express upholds its responsibilities to its customers and adheres to all relevant consumer protection laws. Furthermore, I urge American Express to provide affected cardholders with a fair and equitable resolution. I appreciate your attention to this matter and look forward to a timely response. You may reach me at the contact information provided above should you require any further details or clarification regarding this complaint. Thank you for your assistance in addressing this issue.",365
21218606,2026-04-14,Debt collection,Credit card debt,NAVY FEDERAL CREDIT UNION,CA,Web,"For several years, Navy Federal Credit Union has repeatedly conducted unauthorized electronic fund transfers from my checking and business accounts to pay a credit card balance without my valid authorization. Despite making my required monthly payments on my credit card, the company continued to withdraw additional funds from my accounts and apply them toward the credit card balance. This resulted in improper depletion of my available funds and negatively impacted my financial stability. Most recently, approximately [AMOUNT] was withdrawn from my checking account without my authorization. After contacting the company and disputing the transaction, they reversed several similar unauthorized transfers ( approximately [REDACTED] transactions ), which indicates that these withdrawals were improper. However, the issue has not been permanently resolved, and unauthorized withdrawals continue to occur. I have contacted Navy Federal multiple times to dispute these transactions and explicitly instructed them to stop making unauthorized withdrawals. Despite this, the conduct has continued over an extended period. These actions have caused financial harm, including loss of access to funds, disruption of my cash flow, and negative impact to my credit due to improper application of payments. I believe these actions constitute unauthorized electronic fund transfers in violation of the Electronic Fund Transfer Act ( EFTA ) and Regulation [REDACTED] , as I did not provide valid, ongoing authorization for these withdrawals. I am requesting a full investigation, a complete accounting of all transfers made from my accounts to the credit card, a refund of all unauthorized withdrawals, and a permanent stop to any further unauthorized transactions.",255
13852746,2025-06-02,Payday/title/personal loan,Installment loan,SYNCHRONY FINANCIAL,NC,Web,"I discovered that multiple payments I made in excess of my monthly minimum on my [REDACTED] motorcycle loan were not applied toward the loan principal but were instead allocated to future payments. This was never clearly disclosed to me, and it results in Synchrony Bank holding excess funds without applying them to reduce my loan balancecosting me interest and financially harming me. When I called to ask about making principal-only payments, a Synchrony rep told me I could do so over the phone. Based on that, I attempted to make such a payment. I was then told that this information was incorrect and that principal payments can only be made by mailing in a physical check to a specific address. This is a deceitful and anti-consumer practice. Synchrony is making it intentionally difficult to pay off loans faster by creating barriers to principal-only payments and failing to disclose how payments are applied. They are profiting off borrower confusion, and its wrong.",161
11657735,2025-01-17,Money transfer or virtual currency,Domestic (US) money transfer,"Block, Inc.",TX,Web,"I am filing a complaint against Cash App ( Block , Inc. ) due to inadequate customer service and unfair practices, which violate the Consumer Financial Protection Act ( CFPA ). Specifically, Cash App failed to take timely and effective measures to prevent and address fraud on their platform, leaving my account vulnerable and unprotected. Furthermore, their dispute resolution process was unfair and deceptive, as they did not comply with error resolution requirements under the Electronic Fund Transfer Act ( EFTA ) and Regulation E. These actions have caused significant inconvenience and financial loss, and I seek appropriate redress for these violations.",102
16768317,2025-10-23,Vehicle or consumer loan,Loan,"SANTANDER HOLDINGS USA, INC.",NJ,Web,"lost my job recently and have applied for unemployment benefits, which are pending. My auto loan payment of [AMOUNT] was due on [DATE] /year> and [DATE] /year> I contacted Santander multiple times, including speaking with customer service agents, supervisors, and the hardship team, requesting a short-term hardship extension, deferment, or temporary payment relief to avoid a late payment while my unemployment benefits are processing. Santander refused to provide meaningful assistance and only offered a [AMOUNT] reduction on the payment, which is insufficient to prevent delinquency. I made efforts to explain my situation, requested that my account not be reported late, and offered to make a partial payment to demonstrate good faith. Despite this, Santander would not provide any option to prevent a late mark or extend the payment due date. I am submitting this complaint to request assistance in ensuring my account is treated fairly and that I am not penalized for a temporary financial hardship while waiting for unemployment benefits.",161
6955430,2023-05-09,Student loan,Private student loan,SLM CORPORATION,NE,Web,"I am a co-signer on a Sallie Mae student loan for my son. I have asked numerous times, at least 5, to try and get my name off of the loan. I have written many letters due to the harassment of other family members that are NOT co-signers on the loan with my son. Calling to try and talk with any representative is the ultimate WORST. When I call to talk with Sallie Mae, as a cosigner I should have the right to the loan information, but they can not verify my information. And yet they can call family members not associated with the loan to harass.That is why I have resorted to mailing letters. Hopefully they are being handled. Long story short I mailed yet another letter to Sallie Mae asking/requesting to be removed from my sons student loan 2 weeks ago. As of yet no response. The loan has been opened since 2014. This is an Installment account, the account # is [REDACTED] , amount balance [AMOUNT] , monthly pmt [AMOUNT] , Primary loan is in name [REDACTED] , co-signer [REDACTED] ( me ) Just stop calling family members not associated with this loan and steps to have [REDACTED] removed from this 2014 account. It has been almost 10 years. Thank you",214
16702173,2025-10-20,Debt or credit management,Debt settlement,"DEBT 0, INC",FL,Web,"I enrolled with Deuda Cero / Debt [REDACTED] around [DATE] for a debt-settlement program. As part of the process, I signed an Account Agreement with [REDACTED] ( [REDACTED] ) to hold my deposits while Deuda Cero negotiated with my creditors. The company assured me that if I stopped making payments to my creditors, they would promptly negotiate settlements to reduce my balances. Based on that representation, I followed their instructions and stopped paying. While they did reach settlements on a few smaller accounts, they failed to address or negotiate major ones, including my [REDACTED] credit card, which escalated into a lawsuit. Because of their delays, lack of communication, and failure to act in a timely manner, the balance on that account and others continued to grow with added interest and legal costs. Their advertising and communication misrepresented the results and timelines of the program. I was led to believe that all accounts would be handled within the program, but they did not deliver on those promises. The company also continued to deduct funds from my [REDACTED] account even after I requested cancellation On [DATE] , I emailed Deuda Cero to cancel my participation in the program and requested a full accounting and the return of the funds remaining in my [REDACTED] account. Under Section 9 of the Account Agreement, these funds must be refunded upon termination. Despite this, I have not received any response, refund, or statement explaining where my money went and why it was transferred over to their accounts. I believe Deuda Cero misled me about their services and broke the FTC Debt Relief Rule. They caused financial harm by telling me to stop paying my accounts without getting timely settlements, and they also gave me false legal advice by saying I didnt need to show up to court and acted as if they represented me when they didnt. I am requesting that the Consumer Financial Protection Bureau investigate this matter and if it's possible, all my funds be returned to me, thank you.",336
7432219,2023-08-22,Credit card,General-purpose credit card or charge card,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,Web,"My [REDACTED] credit card payment was sent from my credit union with the incorrect credit card account information. Bank of America was unable to locate the payment and after almost 1 month returned the payment to my credit union as being unable to be applied. I immediately resent the payment with the correct account information ( note : this is even before my credit union credited the money back to my personal account ). Bank of America did credit back the late payment fee and some of the interest, however they did not credit back [REDACTED] interest in the amount of [AMOUNT] . I have spoken to at least 5 different people regarding the issue and they say there system is not able to credit the [AMOUNT] back to my account and there is nothing that can be done. I have asked to speak to supervisor and have been told none are available, one stated she did not have the ability to credit the charges, I filed an internal BofA compliant and when I followed up was told that they have no record of a compliant being logged. It is a point of principle that I am fighting this charge. I paid my credit card statement on time but the money was not applied to my account ( but BofA had my money all this time ) yet they still charge my [AMOUNT] in interest since they can not get their system to reverse the charge. I have asked for supervisors to call be back but none have. I would like your assistance to get this matter resolved immediately. As trivial as this sounds, it is indicative of the way Big Business deals with the small individual... I need your help to get this resolved. Thank you. Please do not hesitate to contact me for further details.",307
19139224,2026-01-30,Debt or credit management,Debt settlement,Olympus1 LLC,MO,Web,"I am filing a complaint regarding Alleviate Financial Solutions and the collection of fees I believe were unearned and improperly charged during my enrollment in their debt settlement program. I was enrolled in Alleviates program from approximately [DATE] through [DATE] . I enrolled approximately [AMOUNT] in unsecured debt across multiple creditors. During my enrollment, only [REDACTED] account ( [REDACTED] ) resulted in a settlement offer. All other enrolled accounts remained unsettled. I cancelled the program before the [REDACTED] settlement was completed. I am now making the remaining payments directly to the creditor without Alleviates involvement. Alleviate is no longer servicing or managing this account. Despite this, Alleviate collected [AMOUNT] in earned performance fees, along with repeated [AMOUNT] ACH fees that I understand to be associated with [REDACTED] , as well as custodial and disbursement fees. I did not use [REDACTED] services, and the majority of my enrolled debts were never settled. Because the settlement was not completed through Alleviates program and most enrolled accounts were never resolved, I believe a significant portion of the fees collected were not earned. Performance fees should only be collected for successfully completed settlements, and add-on legal or administrative fees should not be retained when services are not used or when the program is cancelled prior to completion. I have attempted to resolve this matter directly with Alleviate and requested a fee review and refunds for unearned fees, but the matter remains unresolved. I am requesting CFPB assistance to review whether Alleviate improperly retained unearned performance fees and add-on fees, and to help obtain appropriate refunds for fees charged for services that were not completed or used. Thank you for your assistance. Sincerely, [REDACTED]",279
13793340,2025-05-29,Debt collection,Other debt,"Firstsource Business Process Services, LLC",VA,Web,"I received a phone call from First Source Advantage stating I owed a debt. I was not aware of any debt so I wanted to contact the company "" [REDACTED] . When I reached out to [REDACTED] they were unsure why I was being contacted by this company as my subscription had been on auto renew and when payment processed it was drafted from an old account number. I never received any information from [REDACTED] that stated there was an issue with payment as it was only a few days since it had tried to renew. I paid [REDACTED] and corrected the banking information right away and have proof of payment. They told me to disregard any communication from First SourceXXXX and now I am receiving a bill from them for a fee of [AMOUNT] . I do not feel I owe then a fee as there was no need for this to be sent to this company as all of this has taken placed in less than 30 days.Then when trying to speak with someone at [REDACTED] to resolve this issue they are demanding banking information over the phone. I do not feel comfortable sharing this information over the phone to a company that is stating I owe money that I had alreadyt paid and corrected with the orginial source. This was a very bad experience with both First Source and [REDACTED] . I have used [REDACTED] for years and they seemed very unaware of why these companys would be contacting me so quickly and demanding payment when it had only been a few days and I was not contacted about a payment issue.This was not an outstanding debt owed at all. This was just needing banking infomation updated and corrected. Why this was sent to a collection company so quickly is not understood at all. I am looking to not be liable for a fee from First Source or [REDACTED] as this was wrongfully sent to a collection company and wrongfully billed! Please advise as I would appreciate resolution on this matter asap.",345
